Filename,Row,Columm,StartTime,EndTime,Completed
bot-iot-all-features,3000000,44,1686972011.6402824,1686972011.7169697,0
bot-iot-all-features,2000000,44,1686972016.8260112,1686972016.8791845,0
bot-iot-all-features,1000000,44,1686972021.950523,1686972021.9789782,0
bot-iot-all-features,500000,44,1686972027.0278835,1686972027.0472724,0
bot-iot-all-features,200000,44,1686972032.0734236,1686973832.23621,-1
bot-iot-all-features,100000,44,1686973838.1084874,1686975638.487189,-1
bot-iot-all-features,50000,44,1686975643.8009188,1686977443.9352403,-1
bot-iot-all-features,25000,44,1686977448.9636362,1686979084.351206,1
bot-iot-all-features,10000,44,1686979089.4055843,1686979355.1758955,1
bot-iot-all-features,5000,44,1686979360.219158,1686979427.9024768,1
bot-iot-all-features,1000,44,1686979432.9462585,1686979435.2103732,1
bot-iot-all-features,500,44,1686979440.2488074,1686979440.773848,1
bot-iot-all-features,100,44,1686979445.8085372,1686979445.819253,1
