Filename,Row,Columm,StartTime,EndTime,
1027_ESL,488,5,1686046366,1686046366,0.024800062
1028_SWD,1000,11,1686046366,1686046366,0.005160093
1029_LEV,1000,5,1686046366,1686046366,0.00387001
1030_ERA,1000,5,1686046366,1686046366,0.004109859
1089_USCrime,47,14,1686046366,1686046366,0.001060009
1096_FacultySalaries,50,5,1686046366,1686046366,0.001049995
1191_BNG_pbc,1000000,19,1686046367,1686046656,288.56581
1193_BNG_lowbwt,31104,10,1686046656,1686046656,0.333710194
1196_BNG_pharynx,1000000,11,1686046657,1686046974,317.01913
1199_BNG_echoMonths,17496,10,1686046974,1686046974,0.093039989
1201_BNG_breastTumor,116640,10,1686046974,1686046978,3.754600048
