Name,Time,Memory_Physical,Memory_Virtual,Filename
python,1688726303.1083782,167.984375,3041.44921875,letter_OpenML
python,1688726304.1380193,168.00390625,3041.44921875,letter_OpenML
python,1688726305.167575,168.00390625,3041.44921875,letter_OpenML
python,1688726306.2021818,168.00390625,3041.44921875,letter_OpenML
python,1688726307.2387614,168.00390625,3041.44921875,letter_OpenML
python,1688726308.2679718,159.490234375,6257.9171875,letter_OpenML
python,1688726309.2967474,176.921484375,6272.953515625,letter_OpenML
python,1688726310.326889,168.44921875,3041.44921875,letter_OpenML
python,1688726311.4374404,168.4609375,3041.44921875,nursery_OpenML
python,1688726312.466658,168.4609375,3041.44921875,nursery_OpenML
python,1688726313.499655,168.4609375,3041.44921875,nursery_OpenML
python,1688726314.5371528,168.4609375,3041.44921875,nursery_OpenML
python,1688726315.5736406,168.4609375,3041.44921875,nursery_OpenML
python,1688726316.6050105,168.4609375,3041.44921875,nursery_OpenML
python,1688726317.6423137,168.4609375,3041.44921875,nursery_OpenML
python,1688726318.6791933,168.4609375,3041.44921875,nursery_OpenML
python,1688726319.764939,168.4609375,3041.44921875,pendigits_OpenML
python,1688726320.7946727,168.4609375,3041.44921875,pendigits_OpenML
python,1688726321.825932,168.4609375,3041.44921875,pendigits_OpenML
python,1688726322.8533537,168.4609375,3041.44921875,pendigits_OpenML
python,1688726323.880918,168.4609375,3041.44921875,pendigits_OpenML
python,1688726324.9098969,154.332421875,6180.764453125,pendigits_OpenML
python,1688726325.6379194,163.515625,6206.090959821428,pendigits_OpenML
python,1688726326.7351987,168.4609375,3041.44921875,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726327.7658138,795.4453125,6817.012109375,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726328.7952409,832.5421875,8836.49453125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726329.8247485,607.022265625,8835.017578125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726330.8549845,603.3265625,8840.96953125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726331.8846982,603.748046875,8834.39140625,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726332.91472,605.36015625,8836.466796875,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726333.9502015,606.93203125,8840.593359375,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726334.9797878,607.375390625,8841.969140625,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726336.0093043,608.12578125,8833.26484375,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726337.039023,608.987109375,8840.19296875,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726338.0685773,610.103125,8843.71953125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726339.0989933,610.530078125,8837.36640625,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726340.1284277,611.146484375,8838.266796875,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726341.1579983,612.15390625,8842.66875,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726342.1876152,612.746875,8844.41953125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726343.2171304,613.8171875,8834.489453125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726344.2468402,615.021875,8843.96875,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726345.2764537,615.3703125,8842.06796875,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726346.311355,617.890625,8837.415625,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726347.341706,619.794921875,8844.11875,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726348.3743815,619.7921875,8838.316015625,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726349.4037974,620.621484375,8838.491015625,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726350.4348164,621.66640625,8846.24453125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726351.4640515,622.955078125,8837.21484375,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726352.4988184,624.9421875,8846.36875,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726353.5281274,625.246875,8843.2171875,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726354.5655744,625.61875,8838.41484375,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726355.5950146,626.99453125,8848.64453125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726356.6338522,627.331640625,8843.4671875,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726357.6631072,633.128515625,8815.355078125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726358.6920226,634.3359375,8806.8125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726359.720939,634.3359375,8806.8125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
python,1688726360.7499435,634.3359375,8806.8125,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML
