Filename,Row,Columm,Mode,System_3070,Time_3070,Time_M2,Time_Jimmy,Time_Thelma,Time_Louise,ARI_Louise
letter_OpenML,20000,16,Default,3070,11.99906182,6.472463435,11.05712503,13.05103283,15.92226005,0.002024133
pendigits_OpenML,10992,16,Default,3070,3.178417444,1.894400843,3.209956984,3.75799842,4.622338057,0.098183955
pol_OpenML,15000,48,Default,3070,7.076168776,3.152096659,5.384831793,6.355867034,7.754157782,0.03215192
2dplanes_OpenML,40768,10,Default,3070,59.30702186,24.75048069,41.93831451,49.09851454,60.39117289,4.84E-07
elevators_OpenML,16599,18,Default,3070,6.821322918,2.844471078,4.859304759,5.73557283,6.997398853,0.011515256
meta_stream_intervals.arff_OpenML,45164,74,Default,3070,221.3782957,43.83283344,74.27230111,86.95293789,106.9521136,-0.011074613
Ailerons_OpenML,13750,40,Default,3070,5.272236586,2.399666523,4.09943031,4.838671841,5.903179646,0.001003674
mv_OpenML,40768,10,Default,3070,96.00310493,24.21857041,41.03702208,48.04334292,59.09331179,2.02E-05
fried_OpenML,40768,10,Default,3070,105.6343224,25.98450533,44.3901966,52.39498616,63.92188311,9.07E-07
house_16H_OpenML,22784,16,Default,3070,11.38558722,6.991479434,11.84667349,13.86927628,17.05920982,1.05E-05
ailerons_OpenML,13750,40,Default,3070,5.207748652,3.046232413,5.203980373,6.142403063,7.493731737,0.001609432
sylva_prior_OpenML,14395,108,Default,3070,8.014315844,5.255081127,8.904443021,10.42471378,12.82239795,-0.016784783
eye_movements_OpenML,10936,27,Default,3070,1.61777854,1.176138816,2.009237144,2.371558596,2.893301487,0.000648375
MagicTelescope_OpenML,19020,10,Default,3070,8.852871656,5.251244541,8.897942139,10.41710299,12.81303668,0.081005688
letter-challenge-unlabeled.arff_OpenML,20000,16,Default,3070,10.10819221,4.012694398,6.855019596,8.09117067,9.871228218,-0.001138854
Kaggle_bike_sharing_demand_challange_OpenML,10886,10,Default,3070,2.531481504,1.111824102,1.883924173,2.205569763,2.712850809,0.00041844
bank-marketing_OpenML,45211,16,Default,3070,237.4889319,29.89662905,51.07340796,60.28336677,73.54570746,0.052513049
eeg-eye-state_OpenML,14980,14,Default,3070,4.758255005,2.192281113,3.714698553,4.348915379,5.349165916,-4.96E-05
gas-drift_OpenML,13910,128,Default,3070,6.587161303,3.722683395,6.359584133,7.506394386,9.157801151,0.008644111
gas-drift-different-concentrations_OpenML,13910,129,Default,3070,6.757879734,3.848783989,6.521550649,7.634986125,9.391032934,0.008644111
har_OpenML,10299,561,Default,3070,13.07056093,6.694487248,11.43641572,13.49872019,16.46843863,0.332532207
nomao_OpenML,34465,118,Default,3070,68.13788462,30.89608091,52.35169265,61.28978652,75.38643742,0.068283912
CreditCardSubset_OpenML,14240,30,Default,3070,5.170846701,2.272152804,3.881594373,4.581554014,5.589495897,-0.000121109
PhishingWebsites_OpenML,11055,30,Default,3070,2.556142807,1.259883212,2.13480211,2.499280519,3.074115038,-0.00173926
OnlineNewsPopularity_OpenML,39644,60,Default,3070,51.35493684,27.58801061,47.12951813,55.62828369,67.8665061,0.000111823
CIFAR_10_small_OpenML,20000,3072,Default,3070,257.1432343,156.9637015,265.966272,311.3751477,382.9914317,0.019156504
STL-10_OpenML,13000,27648,Default,3070,1118.466639,606.9448927,1036.864192,1223.839702,1493.084436,0.033399971
guillermo_OpenML,20000,4296,Default,3070,356.5350006,193.5082644,327.8890035,383.8700529,472.1601651,-0.000184906
riccardo_OpenML,20000,4296,Default,3070,358.4301143,187.907058,321.0078907,378.8945595,462.2513626,0.003769425
dilbert_OpenML,10000,2000,Default,3070,41.62632751,23.27079773,39.43107393,46.1632085,56.78074646,0.000828715
robert_OpenML,10000,7200,Default,3070,170.1623888,83.81684264,143.1871062,169.0077319,206.1894329,0.030570531
Click_prediction_small_OpenML,39948,11,Default,3070,53.58662963,25.10876646,42.54540983,49.80926029,61.26539016,-2.86E-05
microaggregation2_OpenML,20000,20,Default,3070,8.289520979,3.867721267,6.607357164,7.7988478,9.514594316,-0.034104701
SVHN_medium_OpenML,49644,3072,Default,3070,1902.157135,919.8956635,1558.712097,1824.833674,2244.545419,-0.00084271
dataset_sales_OpenML,10738,14,Default,3070,2.795496941,1.340929427,2.290754438,2.703841303,3.29868639,0.056392249
default-of-credit-card-clients_OpenML,30000,23,Default,3070,30.57010245,14.783902,25.05050062,29.32741536,36.07272089,-0.004127429
house_sales_reduced_OpenML,21613,20,Default,3070,10.33975816,4.959721394,8.472857382,10.0007497,12.20091463,1.73E-05
Brazilian_houses_OpenML,10692,12,Default,3070,2.689834595,1.300821648,2.204170015,2.580491725,3.174004822,1.33E-07
Bike_Sharing_Demand_OpenML,17379,12,Default,3070,6.488736153,3.112483195,5.317158792,6.275990705,7.65670866,0.000750539
house_sales_OpenML,21613,21,Default,3070,12.81323814,6.196565988,10.49973681,12.2923748,15.11962101,-1.50E-05
PCam16k_OpenML,16000,27648,Default,3070,1646.854985,789.9548305,1349.506169,1592.85974,1943.288883,0.000845072
NASA_PHM2008_OpenML,45918,21,Default,3070,224.381541,108.5123846,183.8682072,215.2603402,264.7702184,0.000177607
NASA_PHM2008_1_OpenML,45918,21,Default,3070,237.5745258,113.9585124,194.6791253,229.7851971,280.3379405,0.001755519
MiamiHousing2016_OpenML,13932,16,Default,3070,3.542904615,1.713371904,2.903213504,3.398884102,4.180627446,0.000486243
superconduct_OpenML,21263,81,Default,3070,12.88363981,6.179957309,10.55742707,12.46122539,15.20269498,0.001633404
sarcos_OpenML,44484,21,Default,3070,154.5666194,74.7494307,126.6587576,148.2834235,182.3886109,0.000106005
law-school-admission-bianry_OpenML,20800,11,Default,3070,11.42875123,5.482083923,9.365226701,11.05403807,13.48592645,0.058391115
