Filename,Row,Columm,Mode,System_M2,Time_M2,Time_Jimmy,Time_Louise,Time_Thelma,ARI_M2
covertype_OpenML,110393,54,SS,M2,11.84546208,21.53720378,30.37297969,23.92783341,-0.017296381
mnist_784_OpenML,70000,784,SS,M2,105.0434592,187.5776057,269.3422031,215.2474728,0.001527185
BNG(mv)_OpenML,78732,10,SS,M2,3.41433692,5.990064772,8.754710051,6.39438653,-7.13E-10
Diabetes130US_OpenML,101766,49,SS,M2,10.35339499,18.82435453,26.54716664,21.41463184,-0.001446125
numerai28.6_OpenML,96320,21,SS,M2,7.893687963,14.09587136,20.24022555,15.49730444,5.97E-05
fars_OpenML,100968,29,SS,M2,6.409382105,11.24453001,16.43431309,12.94695185,-0.01949502
Devnagari-Script_OpenML,92000,1024,SS,M2,196.5387614,357.3432025,503.9455421,394.1186526,3.79E-05
CIFAR_10_OpenML,60000,3072,SS,M2,487.7086971,870.9083877,1250.535121,982.798172,2.68E-07
Fashion-MNIST_OpenML,70000,784,SS,M2,118.622365,208.1094123,304.1599103,225.9302297,0.104637146
mnist_rotation_OpenML,62000,784,SS,M2,126.458365,229.9243,324.2522179,263.9883444,0.000203759
SVHN_OpenML,99289,3072,SS,M2,804.0651658,1435.830653,2061.705553,1536.930667,-0.000118619
volkert_OpenML,58310,180,SS,M2,27.2082901,47.73384228,69.76484641,56.28155971,0.074619969
jannis_OpenML,83733,54,SS,M2,14.22971082,25.87220149,36.486438,29.72643209,-0.009862643
helena_OpenML,65196,27,SS,M2,5.918063164,10.56796994,15.17452093,12.68908525,0.000819356
Kuzushiji-MNIST_OpenML,70000,784,SS,M2,109.0252609,191.2723875,279.551951,226.3656359,0.006480194
CIFAR-100_OpenML,60000,3072,SS,M2,484.2924898,880.5317996,1241.775615,969.7242084,0.00101095
GTSRB-HOG01_OpenML,51839,1568,SS,M2,273.2068851,487.8694377,700.5304746,543.9628966,2.53E-06
GTSRB-HOG02_OpenML,51839,1568,SS,M2,272.2951,477.7107018,698.1925641,524.4310253,0.000679838
GTSRB-HOG03_OpenML,51839,2916,SS,M2,529.163274,962.1150436,1356.828908,1039.274235,0.002575407
GTSRB-HueHist_OpenML,51839,256,SS,M2,34.87694073,62.2802513,89.42805315,71.23116136,-0.000358342
aloi_OpenML,108000,128,SS,M2,23.57558608,41.36067733,60.45022072,49.15443611,4.33E-05
Medical-Appointment_OpenML,61214,18,SS,M2,2.8314538,5.148097818,7.260137949,6.197948694,-0.001418172
MiniBooNE_OpenML,72998,50,SS,M2,11.469625,20.48147321,29.40929487,23.16864249,3.80E-06
road-safety_OpenML,111762,32,SS,M2,8.391761303,14.72238825,21.51733667,17.27834749,0.017656544
mobile_churn_OpenML,66469,65,SS,M2,9.056613207,16.46656947,23.22208515,19.75001359,0.004876213
video_transcoding_OpenML,68784,18,SS,M2,3.776878119,6.744425213,9.684302869,8.346518755,5.10E-05
wave_energy_OpenML,72000,48,SS,M2,11.31724,19.85480702,29.0185641,23.41186714,1.36E-09
albert_OpenML,58252,31,SS,M2,4.133569956,7.515581738,10.59889732,8.81246233,0.000341243
kick_OpenML,67212,30,SS,M2,5.089659214,9.088677168,13.05040824,11.06708598,0.000835306
Cardiovascular-Disease-dataset_OpenML,70000,11,SS,M2,2.209783792,3.87681367,5.666112287,4.792556524,0.032355334
Otto-Group-Product-Classification-Challenge_OpenML,61878,93,SS,M2,10.30134797,18.72972358,26.41371274,21.52186871,3.22E-05
Dota2-Games-Results-Data-Set_OpenML,102944,116,SS,M2,22.68871999,40.51557141,58.1762051,42.13205671,1.90E-05
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,M2,93.87801814,164.6982774,240.712867,182.7404828,0.316627119
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,M2,93.03664708,169.1575401,238.5555053,192.600544,0.008740189
BNG(kr-vs-kp)_OpenML,1000000,36,SS,M2,95.40698981,170.3696247,244.6333072,195.8433993,-0.000189895
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,47.80440593,83.86737882,122.5753998,97.29794765,0.134713226
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,49.02154803,89.13008733,125.696277,101.2248528,0.001272893
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,SS,M2,70.60193515,126.0748842,181.0306029,141.6756823,0.005994508
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,M2,53.94125319,94.63377753,138.3109056,109.2846322,0.05599858
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,SS,M2,191.5503337,348.273334,491.1547018,388.8915014,0.080892982
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,SS,M2,164.7042761,294.1147788,422.3186567,347.816885,0.000500509
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,M2,39.83916211,69.89326686,102.1516977,81.29530931,0.004117615
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,M2,39.75291109,72.27802016,101.9305413,81.32897639,0.004234138
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,SS,M2,121.1896729,216.4101302,310.742751,242.6527638,0.000167987
BNG(mushroom)_OpenML,1000000,22,SS,M2,62.27644181,109.2569155,159.6831841,125.0063865,-1.00E-05
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,SS,M2,76.32779598,138.7778109,195.7122974,153.0169873,0.000183284
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,SS,M2,61.66980672,110.1246549,158.1277095,125.0413923,-0.020777772
BNG(optdigits)_OpenML,1000000,64,SS,M2,154.8401291,271.6493493,397.0259721,326.546134,0.005016932
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,SS,M2,44.89534926,81.62790775,115.1162802,95.49477029,0.009431548
