Filename,Shape_R,Shape_C,Unique
1595_poker,"1,025,010",11,10
poker,"1,025,010",11,10
1191_BNG_pbc,"1,000,000",19,"978,852"
1196_BNG_pharynx,"1,000,000",11,"984,191"
kddcup,"494,020",42,23
1203_BNG_pwLinear,"177,147",11,"176,025"
1201_BNG_breastTumor,"116,640",10,"92,234"
fars,"100,968",30,8
mnist,"70,000",785,10
connect_4,"67,557",43,3
shuttle,"58,000",10,7
adult,"48,842",15,2
215_2dplanes,"40,768",11,"40,368"
344_mv,"40,768",11,"39,029"
564_fried,"40,768",11,"17,396"
1193_BNG_lowbwt,"31,104",10,"31,056"
krkopt,"28,056",7,18
218_house_8L,"22,784",9,"2,045"
574_house_16H,"22,784",17,"2,045"
537_houses,"20,640",9,"3,842"
letter,"20,000",17,26
magic,"19,020",11,2
1199_BNG_echoMonths,"17,496",10,"17,489"
201_pol,"15,000",49,11
nursery,"12,958",9,4
pendigits,"10,992",17,10
volcanoes-b5,"9,989",4,5
JapaneseVowels,"9,961",15,9
GesturePhaseSegmentationProcessed,"9,873",33,5
coil2000,"9,822",86,2
delta_elevators,"9,517",7,2
mc1,"9,466",39,2
USPS,"9,298",257,10
volcanoes-d3,"9,285",4,5
volcanoes-d2,"9,172",4,5
ipums_la_99-small,"8,844",52,2
volcanoes-d1,"8,753",4,5
volcanoes-d4,"8,654",4,5
visualizing_soil,"8,641",5,2
SpeedDating,"8,365",120,2
fabert,"8,237",801,7
197_cpu_act,"8,192",22,56
225_puma8NH,"8,192",9,"8,192"
227_cpu_small,"8,192",13,56
562_cpu_small,"8,192",13,56
573_cpu_act,"8,192",22,56
bank32nh,"8,192",33,2
bank8FM,"8,192",9,2
cpu_act,"8,192",22,2
cpu_small,"8,192",13,2
kin8nm,"8,192",9,2
puma32H,"8,192",33,2
puma8NH,"8,192",9,2
agaricus_lepiota,"8,145",23,2
mushroom,"8,124",22,2
isolet,"7,797",618,26
ipums_la_98-small,"7,485",50,2
ring,"7,400",21,2
ringnorm,"7,400",21,2
twonorm,"7,400",21,2
ann_thyroid,"7,200",22,3
delta_ailerons,"7,129",6,2
ipums_la_97-small,"7,019",51,8
kdd_ipums_la_97-small,"7,019",52,2
clean2,"6,598",169,2
musk,"6,598",168,2
503_wind,"6,574",15,779
wind,"6,574",15,2
294_satellite_image,"6,435",37,6
satimage,"6,430",37,6
first-order-theorem-proving,"6,118",52,6
jungle_chess_2pcs_endgame_rat_elephant,"5,880",47,3
jungle_chess_2pcs_endgame_rat_lion,"5,880",47,3
jungle_chess_2pcs_endgame_rat_panther,"5,880",47,3
philippine,"5,832",309,2
BachChoralHarmony,"5,665",17,102
optdigits,"5,620",65,2
pc2,"5,589",37,2
texture,"5,500",41,11
page-blocks,"5,473",11,5
page_blocks,"5,473",11,5
wall-robot-navigation,"5,456",3,4
christine,"5,418","1,637",2
phoneme,"5,404",6,2
banana,"5,300",3,2
sylvine,"5,124",21,2
Satellite,"5,100",37,2
churn,"5,000",21,2
waveform-5000,"5,000",41,3
waveform_21,"5,000",22,3
waveform_40,"5,000",41,3
wine-quality-white,"4,898",12,7
wine_quality_white,"4,898",12,7
wilt,"4,839",6,2
jungle_chess_2pcs_endgame_lion_elephant,"4,704",47,3
jungle_chess_2pcs_endgame_panther_elephant,"4,704",47,3
jungle_chess_2pcs_endgame_panther_lion,"4,704",47,3
spambase,"4,601",58,2
ada_prior,"4,562",15,2
bank-marketing,"4,521",17,2
hiva_agnostic,"4,229","1,618",2
abalone,"4,177",9,3
ada,"4,147",49,2
analcatdata_supreme,"4,052",8,2
529_pollen,"3,848",5,"3,784"
pollen,"3,848",6,2
allbp,"3,772",30,3
allrep,"3,772",30,4
dis,"3,772",30,2
hypothyroid,"3,772",29,2
sick,"3,772",29,2
thyroid-ann,"3,772",22,3
allhyper,"3,771",30,4
allhypo,"3,770",30,3
Bioresponse,"3,751","1,777",2
Speech,"3,686",401,2
jungle_chess_2pcs_endgame_rat_rat,"3,660",47,2
gina_agnostic,"3,468",971,2
gina_prior,"3,468",785,2
gina_prior2,"3,468",785,10
Internet-Advertisements,"3,279","1,559",2
volcanoes-a1,"3,252",4,5
led24,"3,200",25,10
led7,"3,200",8,10
chess,"3,196",37,2
kr-vs-kp,"3,196",37,2
kr_vs_kp,"3,196",37,2
splice,"3,190",61,3
dna,"3,186",181,3
gina,"3,153",971,2
madeline,"3,140",260,2
space_ga,"3,107",7,2
jasmine,"2,984",145,2
thyroid-allbp,"2,800",27,5
thyroid-allhyper,"2,800",27,5
thyroid-allhypo,"2,800",27,5
thyroid-allrep,"2,800",27,5
thyroid-dis,"2,800",27,5
cjs,"2,796",8,6
madelon,"2,600",501,2
ozone-level-8hr,"2,534",73,2
autoUniv-au4-2500,"2,500",101,3
yeast_ml8,"2,417",117,2
scene,"2,407",300,2
jungle_chess_2pcs_endgame_lion_lion,"2,352",47,2
jungle_chess_2pcs_endgame_elephant_elephant,"2,351",47,2
segment,"2,310",20,7
segmentation,"2,310",20,7
Titanic,"2,201",4,2
quake,"2,178",4,2
cardiotocography,"2,126",36,10
kc1,"2,109",22,2
balloon,"2,001",2,2
mfeat-factors,"2,000",217,2
mfeat-fourier,"2,000",77,2
mfeat-karhunen,"2,000",65,2
mfeat-morphological,"2,000",7,10
mfeat-pixel,"2,000",241,10
mfeat-zernike,"2,000",48,10
mfeat_factors,"2,000",217,10
mfeat_fourier,"2,000",77,10
mfeat_karhunen,"2,000",65,10
mfeat_morphological,"2,000",7,10
mfeat_pixel,"2,000",241,10
mfeat_zernike,"2,000",48,10
pbcseq,"1,945",18,2
steel-plates-fault,"1,941",34,2
car,"1,728",7,2
