Filename,Algorithm,ARI_DBSCAN,Time_DBSCAN
20_newsgroups.drift_OpenML, brute,,
2dplanes_OpenML, kd_tree,-9.31e-10,2.117995977
BNG(2dplanes)_OpenML, kd_tree,5.27e-09,39.40461802
BNG(Australian)_OpenML, kd_tree,0.046508812,1465.473371
BNG(SPECT)_OpenML, brute,0.010957424,1766.133884
BNG(SPECTF)_OpenML, brute,0.0,2532.986998
BNG(adult)_OpenML, kd_tree,0.0,1389.122062
BNG(anneal)_OpenML, brute,-0.139404574,2314.15935
BNG(anneal.ORIG)_OpenML, brute,-0.112267855,2336.330386
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML, brute,-0.12677613,2314.749986
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML, brute,-0.050704493,2303.829001
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML, brute,-0.092271473,2307.341839
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML, brute,-0.048455483,2305.242341
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML, brute,-0.038816603,2302.42209
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML, brute,-0.048953851,2305.015296
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML, brute,-0.00734103,2434.295836
BNG(anneal_COMMA_10000_COMMA_1)_OpenML, brute,-0.085091104,2305.601631
BNG(anneal_COMMA_10000_COMMA_10)_OpenML, brute,-0.032958943,2303.850372
BNG(anneal_COMMA_10000_COMMA_5)_OpenML, brute,-0.060231264,2305.171692
BNG(anneal_COMMA_1000_COMMA_1)_OpenML, brute,-0.031143458,2300.280859
BNG(anneal_COMMA_1000_COMMA_10)_OpenML, brute,-0.0016849,2302.901544
BNG(anneal_COMMA_1000_COMMA_5)_OpenML, brute,-0.00420453,2300.401224
BNG(anneal_COMMA_5000_COMMA_1)_OpenML, brute,-0.065400635,2304.126653
BNG(anneal_COMMA_5000_COMMA_5)_OpenML, brute,-0.032201272,2303.340523
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML, brute,-0.06415022,2336.035562
BNG(audiology_COMMA_1000_COMMA_1)_OpenML, brute,-0.009945136,3521.957018
BNG(audiology_COMMA_1000_COMMA_5)_OpenML, brute,-0.000989356,3521.49718
BNG(audiology_COMMA_5000_COMMA_1)_OpenML, brute,-0.049364283,3527.237792
BNG(audiology_COMMA_5000_COMMA_10)_OpenML, brute,-0.003912526,3521.782905
BNG(audiology_COMMA_5000_COMMA_5)_OpenML, brute,-0.010061043,3523.694423
BNG(autoHorse)_OpenML, brute,0.0,1803.586178
BNG(autoPrice)_OpenML, kd_tree,0.0,1671.459771
BNG(auto_price)_OpenML, kd_tree,0.0,1672.602062
BNG(autos)_OpenML, brute,0.0,1801.373541
BNG(autos_COMMA_10000_COMMA_1)_OpenML, brute,0.0,1799.833935
BNG(autos_COMMA_10000_COMMA_10)_OpenML, brute,0.0,1799.53492
BNG(autos_COMMA_10000_COMMA_5)_OpenML, brute,0.0,1798.892865
BNG(autos_COMMA_1000_COMMA_1)_OpenML, brute,0.0,1800.578541
BNG(autos_COMMA_1000_COMMA_10)_OpenML, brute,0.0,1799.047595
BNG(autos_COMMA_1000_COMMA_5)_OpenML, brute,0.0,1798.90864
BNG(autos_COMMA_5000_COMMA_1)_OpenML, brute,0.0,1799.581523
BNG(autos_COMMA_5000_COMMA_10)_OpenML, brute,0.0,1801.037046
BNG(autos_COMMA_5000_COMMA_5)_OpenML, brute,0.0,1801.209165
BNG(bridges_version1)_OpenML, kd_tree,0.0,1320.22467
BNG(cholesterol)_OpenML, kd_tree,0.0,1356.094864
BNG(colic)_OpenML, brute,0.0,1688.989523
BNG(colic.ORIG)_OpenML, brute,0.0,1878.299817
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML, brute,0.067846721,1691.383499
BNG(cpu_act)_OpenML, brute,0.0,1650.24137
BNG(cpu_small)_OpenML, kd_tree,0.0,1317.213349
BNG(credit-a)_OpenML, kd_tree,-3.9e-06,1673.168469
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML, kd_tree,0.001234879,1730.818591
BNG(credit-g)_OpenML, brute,0.0,1609.294858
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML, brute,-0.019475366,1609.889736
BNG(cylinder-bands)_OpenML, brute,0.0,2587.524592
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML, brute,0.0,2588.285922
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML, brute,0.00393954,2147.078217
BNG(elevators)_OpenML, brute,0.0,1533.632607
BNG(eucalyptus)_OpenML, brute,0.0,1572.516157
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML, kd_tree,0.001208634,1377.561037
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML, kd_tree,0.001766163,1419.237549
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML, kd_tree,0.00154103,1379.037706
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML, brute,-0.011238107,1607.036588
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML, brute,,
BNG(kr-vs-kp)_OpenML, brute,0.001059657,2237.686776
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML, brute,0.002006092,2240.639025
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML, brute,0.019635747,2225.27885
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML, brute,0.009889942,2230.213727
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML, brute,0.019815561,2226.929916
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML, brute,0.000736016,2222.795548
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML, brute,0.004266357,2224.503486
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML, brute,0.011910999,2233.823786
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML, brute,0.014815454,2229.37195
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML, brute,0.019537663,2226.387215
BNG(labor)_OpenML, brute,-0.043997358,2165.760441
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML, brute,-0.002412971,2180.65005
BNG(letter)_OpenML, brute,-1.99e-07,2158.663244
BNG(letter_COMMA_10000_COMMA_1)_OpenML, brute,-5.34e-07,2148.014413
BNG(letter_COMMA_10000_COMMA_10)_OpenML, brute,-4.04e-07,2152.776993
BNG(letter_COMMA_10000_COMMA_5)_OpenML, brute,-5.53e-07,2154.734391
BNG(letter_COMMA_1000_COMMA_1)_OpenML, brute,-4e-07,2207.898816
BNG(letter_COMMA_1000_COMMA_10)_OpenML, brute,-4.45e-08,2152.895405
BNG(letter_COMMA_1000_COMMA_5)_OpenML, brute,-1.93e-07,2139.438522
BNG(letter_COMMA_5000_COMMA_1)_OpenML, brute,-5.16e-07,2174.13754
BNG(letter_COMMA_5000_COMMA_10)_OpenML, brute,-2.47e-07,2140.190667
BNG(letter_COMMA_5000_COMMA_5)_OpenML, brute,-4.04e-07,2130.921074
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML, brute,0.015922356,2228.65899
BNG(libras_move)_OpenML, brute,,
BNG(lymph)_OpenML, brute,-0.042647616,1537.712883
BNG(lymph_COMMA_10000_COMMA_1)_OpenML, brute,-0.021063985,4419.743605
BNG(lymph_COMMA_10000_COMMA_10)_OpenML, brute,6.79e-05,1531.50187
BNG(lymph_COMMA_10000_COMMA_5)_OpenML, brute,0.000795271,15546.41061
BNG(lymph_COMMA_1000_COMMA_1)_OpenML, brute,6.1e-05,1529.893367
BNG(lymph_COMMA_1000_COMMA_10)_OpenML, brute,-6.41e-06,1532.049634
