Filename,Row,Columm,Mode,System,Time_M2,Time_Jimmy,Time_Louise,Time_Thelma,ARI
BNG(lymph_COMMA_5000_COMMA_10)_OpenML,1000000,18,SS,M2,85.1820612,238.5097714,312.4478005,281.4415302,-0.000327947
BNG(lymph_COMMA_10000_COMMA_1)_OpenML,1000000,18,SS,M2,101.9671142,275.3112083,355.1514588,322.1141138,0.033169925
BNG(lymph_COMMA_10000_COMMA_5)_OpenML,1000000,18,SS,M2,102.2259371,296.4552176,385.3917829,352.7817089,0.000553996
BNG(lymph_COMMA_10000_COMMA_10)_OpenML,1000000,18,SS,M2,95.43396306,267.2150966,350.0517765,315.313814,3.19E-05
Kaggle_bike_sharing_demand_challange_OpenML,10886,10,SS,M2,4.600580931,12.42156851,16.02382338,14.53323516,-0.000154923
bank-marketing_OpenML,45211,16,SS,M2,8.830944061,25.60973778,33.29265911,30.47558795,-0.045857909
eeg-eye-state_OpenML,14980,14,SS,M2,7.620937109,21.33862391,27.95359732,25.17957621,0.01697676
gas-drift_OpenML,13910,128,SS,M2,6.817203999,18.4064508,23.74432153,21.53554743,0.015762421
gas-drift-different-concentrations_OpenML,13910,129,SS,M2,9.906923056,28.73007686,37.34909992,34.18879147,0.020173394
har_OpenML,10299,561,SS,M2,23.40316081,65.52885027,85.84279385,77.32404332,0.334420216
nomao_OpenML,34465,118,SS,M2,29.15412474,78.7161368,101.5438165,92.09788005,0.084911914
spoken-arabic-digit_OpenML,263256,14,SS,M2,39.20191312,113.685548,147.7912125,135.2858022,-2.09E-09
poker-hand_OpenML,1025009,10,SS,M2,145.3192263,406.8938336,533.0309221,480.1347237,-0.000106336
CreditCardSubset_OpenML,14240,30,SS,M2,2.314327002,6.248682905,8.060800948,7.310958999,-0.000118178
PhishingWebsites_OpenML,11055,30,SS,M2,3.026664972,8.777328419,11.41052694,10.44502082,0.00138711
Diabetes130US_OpenML,101766,49,SS,M2,22.13994813,61.99185476,81.20932974,73.15038862,-0.007008628
OnlineNewsPopularity_OpenML,39644,60,SS,M2,7.630544901,20.60247123,26.57718789,24.10489134,4.06E-05
Buzzinsocialmedia_Twitter_OpenML,583250,77,SS,M2,243.7271969,706.808871,918.8515323,841.1025565,0.008800845
numerai28.6_OpenML,96320,21,SS,M2,10.92215919,30.58204573,40.06247991,36.08681396,3.56E-05
Devnagari-Script_OpenML,92000,1024,SS,M2,196.1970801,529.7321163,683.35443,619.786576,0.000207183
CIFAR_10_small_OpenML,20000,3072,SS,M2,165.972084,481.3190436,625.7147567,572.7696619,0.026261767
CIFAR_10_OpenML,60000,3072,SS,M2,480.8392401,1346.349872,1763.718333,1588.692849,0.034929045
Fashion-MNIST_OpenML,70000,784,SS,M2,117.6612551,317.6853888,409.8141515,371.6919049,0.362246661
EMNIST_Balanced_OpenML,131600,784,SS,M2,206.618037,599.1923073,778.9499995,713.0388457,0.003768165
SVHN_OpenML,99289,3072,SS,M2,797.6052182,2233.294611,2925.61594,2635.287641,-0.000190963
STL-10_OpenML,13000,27648,SS,M2,1990.669369,5374.807296,6933.501412,6288.524537,0.01624656
MiniBooNE_OpenML,130064,50,SS,M2,22.24963975,64.52395528,83.88114186,76.78350678,0.391030823
guillermo_OpenML,20000,4296,SS,M2,265.6593931,743.8463007,974.4386539,877.7386348,9.33E-05
riccardo_OpenML,20000,4296,SS,M2,306.8675752,828.542453,1068.819764,969.3946701,0.015978339
volkert_OpenML,58310,180,SS,M2,29.40595889,85.27728078,110.860465,101.4799641,0.099627834
dionis_OpenML,416188,60,SS,M2,92.19336796,258.1414303,338.1652737,304.6068877,8.43E-09
jannis_OpenML,83733,54,SS,M2,16.91227388,45.66313948,58.90544992,53.42587319,0.001001937
microaggregation2_OpenML,20000,20,SS,M2,9.261296034,26.8577585,34.91508605,31.96073261,-8.65E-05
Kuzushiji-MNIST_OpenML,70000,784,SS,M2,110.7448499,310.0855797,406.2121094,365.9009841,0.08374566
CIFAR-100_OpenML,60000,3072,SS,M2,482.3024929,1302.216731,1679.859583,1523.593575,0.003745793
GTSRB-HOG01_OpenML,51839,1568,SS,M2,286.6912489,831.4046218,1080.826008,989.3715,0.000310169
GTSRB-HOG02_OpenML,51839,1568,SS,M2,299.0664291,837.3860015,1096.975662,988.1154817,0.005651083
GTSRB-HOG03_OpenML,51839,2916,SS,M2,576.5511808,1556.688188,2008.127763,1821.32518,-0.000124342
GTSRB-HueHist_OpenML,51839,256,SS,M2,37.11940718,107.6462808,139.9401651,128.0990742,-0.000359186
Kuzushiji-49_OpenML,270912,784,SS,M2,482.546689,1351.130729,1769.981255,1594.33426,0.013125952
bot-iot-all-features_OpenML,3668522,44,SS,M2,698.929883,1887.110684,2434.372782,2207.9195,-5.21E-05
SVHN_medium_OpenML,49644,3072,SS,M2,396.0732632,1148.612463,1493.196202,1366.848831,-4.49E-05
CreditCardFraudDetection_OpenML,284807,30,SS,M2,289.4525731,810.4672047,1061.712038,956.3513015,0.000354022
dataset_sales_OpenML,10738,14,SS,M2,1.062903881,2.869840479,3.702094218,3.35771336,0.00027043
hls4ml_lhc_jets_hlf_OpenML,830000,16,SS,M2,550.3546529,1596.028493,2074.837041,1899.273907,0.092747993
default-of-credit-card-clients_OpenML,30000,23,SS,M2,2.451391935,6.863897418,8.991705618,8.099398953,0.002278498
medical_charges_nominal_OpenML,163065,11,SS,M2,9.4802351,25.59663477,33.01965885,29.94806268,5.66E-07
Allstate_Claims_Severity_OpenML,188318,130,SS,M2,434.058728,1258.770311,1636.401405,1497.93667,2.11E-08
house_sales_reduced_OpenML,21613,20,SS,M2,2.351720095,6.584816266,8.626109308,7.770083194,1.46E-05
RelevantImagesDatasetTEST_OpenML,134731,30,SS,M2,17.49567699,47.23832787,60.93744296,55.26884361,0.044453336
Brazilian_houses_OpenML,10692,12,SS,M2,1.690091133,4.901264286,6.371643571,5.8325045,0.000268154
Yolanda_OpenML,400000,100,SS,M2,175.9740429,492.7273201,645.4727894,581.4182377,-0.001687033
Bike_Sharing_Demand_OpenML,17379,12,SS,M2,13.11359572,35.40670844,45.67465389,41.42584888,0.002060239
Higgs_OpenML,1000000,28,SS,M2,201.7310021,585.0199061,760.5258779,696.1736882,-0.000308083
PCam16k_OpenML,16000,27648,SS,M2,2465.172968,6902.48431,9042.254447,8144.931486,2.80E-05
NASA_PHM2008_OpenML,45918,21,SS,M2,4.168183088,11.25409434,14.5177817,13.16729037,5.80E-05
30mlday_OpenML,300000,24,SS,M2,33.57466984,97.36654254,126.5765053,115.8661856,-7.56E-09
MiamiHousing2016_OpenML,13932,16,SS,M2,2.147556305,6.013157654,7.877236527,7.095526032,0.001019348
Porto_Seguro_Safe_Driver_Prediction_2nd_Place_Lightgbm_Solution_OpenML,595212,223,SS,M2,299.322577,808.1709579,1042.540536,945.5600207,0
SGEMM_GPU_kernel_performance_OpenML,241600,17,SS,M2,199.693078,579.1099262,752.8429041,689.1408122,3.31E-05
superconduct_OpenML,21263,81,SS,M2,8.207885027,22.98207808,30.10652228,27.11885213,0.000793887
law-school-admission-bianry_OpenML,20800,11,SS,M2,19.65213108,53.06075392,68.44837255,62.08108208,0.023631287
avocado_sales_OpenML,18249,13,SS,M2,6.323751926,18.33888059,23.84054476,21.8232679,-9.32E-05
credit_OpenML,16714,10,SS,M2,1.085968256,3.040711117,3.983331563,3.588039118,0.253326626
