Filename,Referee,Time,ARI
20_newsgroups.drift_OpenML,AP,1686.319448,-0.023615907
2dplanes_OpenML,AP,3.057060242,4.76E-07
2dplanes_OpenML,K-Means,2.729188919,4.76E-07
2dplanes_OpenML,DBSCAN,2.565955162,4.78E-11
Ailerons_OpenML,AP,3.010758638,0.001893643
Ailerons_OpenML,K-Means,2.971549988,0.001092534
Ailerons_OpenML,DBSCAN,2.896724463,0.001092534
BNG(2dplanes)_OpenML,AP,20.42333031,3.66E-08
BNG(2dplanes)_OpenML,K-Means,10.72226763,7.53E-10
BNG(2dplanes)_OpenML,DBSCAN,10.76010799,7.53E-10
BNG(Australian)_OpenML,AP,100.7852437,0.287120496
BNG(Australian)_OpenML,K-Means,99.29421067,0.287120496
BNG(Australian)_OpenML,DBSCAN,100.0610888,0.287120496
BNG(SPECT)_OpenML,AP,123.3865259,-0.035826588
BNG(SPECT)_OpenML,K-Means,116.2157106,-0.042303344
BNG(SPECT)_OpenML,DBSCAN,116.6738229,7.05E-06
BNG(SPECTF)_OpenML,AP,355.9085958,-0.055441765
BNG(SPECTF)_OpenML,K-Means,358.9460788,-0.055441765
BNG(SPECTF)_OpenML,DBSCAN,367.5032299,-1.22E-06
BNG(adult)_OpenML,AP,88.31905484,-0.003004515
BNG(adult)_OpenML,K-Means,81.82081413,-0.003004515
BNG(adult)_OpenML,DBSCAN,82.95175648,-8.90E-05
BNG(anneal)_OpenML,AP,191.5431468,0.011880278
BNG(anneal)_OpenML,K-Means,185.8477759,0.011880278
BNG(anneal)_OpenML,DBSCAN,197.6372733,0.004089434
BNG(anneal.ORIG)_OpenML,AP,195.4205959,0.01463163
BNG(anneal.ORIG)_OpenML,K-Means,187.871043,-0.000258217
BNG(anneal.ORIG)_OpenML,DBSCAN,197.7595072,0.004167923
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,AP,193.9348538,0.1553238
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,K-Means,187.412883,0.140328636
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,DBSCAN,196.3365467,0.036645818
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,AP,195.2476358,0.029489267
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,K-Means,189.7261548,0.029489267
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,DBSCAN,198.6970687,0.004673914
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,AP,193.0732641,0.064744392
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,K-Means,187.3508883,0.067412571
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,DBSCAN,196.6378365,0.008436514
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,AP,194.6867952,0.027744651
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,K-Means,189.9533145,0.027744651
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,DBSCAN,201.1989241,0.00383978
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,AP,196.9448583,0.029312013
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,K-Means,191.4317048,0.027800456
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,DBSCAN,193.5739665,0.029312013
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,AP,197.6164927,0.028492298
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,K-Means,193.275737,0.028251325
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,DBSCAN,199.4181483,0.00448377
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,AP,185.7305536,0.008740189
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,K-Means,178.8390319,0.008740189
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,DBSCAN,180.1645632,0.001788325
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,AP,196.5313447,0.005976776
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,K-Means,190.9813247,-0.006234605
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,DBSCAN,199.3243587,0.001017624
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,AP,199.7465343,0.01614682
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,K-Means,195.7417941,0.017098975
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,DBSCAN,205.0106375,0.000539751
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,AP,196.1539977,0.014896133
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,K-Means,191.1208258,0.008750965
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,DBSCAN,200.6085012,0.000730835
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,AP,198.6065257,0.015661167
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,K-Means,193.4883251,0.016154464
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,DBSCAN,201.8229432,0.000554806
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,AP,201.6516819,-0.015241534
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,K-Means,197.0643857,-0.016383659
