20_newsgroups.drift_OpenML,Before Partitioning,1708917952.2156487
20_newsgroups.drift_OpenML,Before Rerunning,1708917952.3698132
20_newsgroups.drift_OpenML,Before Merge,1708918391.2909029
20_newsgroups.drift_OpenML,Before AUL_ARI,1708924290.5377295
2dplanes_OpenML,Before Partitioning,1708924327.3515055
2dplanes_OpenML,Before Rerunning,1708924327.364322
2dplanes_OpenML,Before Merge,1708924338.4485037
2dplanes_OpenML,Before AUL_ARI,1708924353.6190357
Ailerons_OpenML,Before Partitioning,1708924353.7880647
Ailerons_OpenML,Before Rerunning,1708924353.7922878
Ailerons_OpenML,Before Merge,1708924357.6714668
Ailerons_OpenML,Before AUL_ARI,1708924365.1705096
BNG(2dplanes)_OpenML,Before Partitioning,1708924365.4562867
BNG(2dplanes)_OpenML,Before Rerunning,1708924365.5105507
BNG(2dplanes)_OpenML,Before Merge,1708924413.2996187
BNG(2dplanes)_OpenML,Before AUL_ARI,1708924482.8977199
BNG(Australian)_OpenML,Before Partitioning,1708924484.9586823
BNG(Australian)_OpenML,Before Rerunning,1708924485.3309443
BNG(Australian)_OpenML,Before Merge,1708924726.7129996
BNG(Australian)_OpenML,Before AUL_ARI,1708925205.5930367
BNG(SPECT)_OpenML,Before Partitioning,1708925209.8166294
BNG(SPECT)_OpenML,Before Rerunning,1708925210.1226578
BNG(SPECT)_OpenML,Before Merge,1708925775.5616076
BNG(SPECT)_OpenML,Before AUL_ARI,1708926336.3342347
BNG(SPECTF)_OpenML,Before Partitioning,1708926343.8387103
BNG(SPECTF)_OpenML,Before Rerunning,1708926344.1952014
BNG(SPECTF)_OpenML,Before Merge,1708926664.3105018
BNG(SPECTF)_OpenML,Before AUL_ARI,1708927816.0279014
BNG(adult)_OpenML,Before Partitioning,1708927823.72057
BNG(adult)_OpenML,Before Rerunning,1708927824.0617807
BNG(adult)_OpenML,Before Merge,1708928275.148954
BNG(adult)_OpenML,Before AUL_ARI,1708928645.1054134
BNG(anneal)_OpenML,Before Partitioning,1708928650.0492883
BNG(anneal)_OpenML,Before Rerunning,1708928650.3872476
BNG(anneal)_OpenML,Before Merge,1708929243.3060813
BNG(anneal)_OpenML,Before AUL_ARI,1708930017.0439222
BNG(anneal.ORIG)_OpenML,Before Partitioning,1708930023.7739115
BNG(anneal.ORIG)_OpenML,Before Rerunning,1708930024.080423
BNG(anneal.ORIG)_OpenML,Before Merge,1708930698.4312243
BNG(anneal.ORIG)_OpenML,Before AUL_ARI,1708931484.5503523
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,Before Partitioning,1708931491.0803673
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,Before Rerunning,1708931491.4516733
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,Before Merge,1708932301.267831
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,Before AUL_ARI,1708933192.2369359
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,Before Partitioning,1708933198.9724545
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,Before Rerunning,1708933199.3490653
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,Before Merge,1708933692.1269388
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,Before AUL_ARI,1708934483.8041625
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,Before Partitioning,1708934490.8539267
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,Before Rerunning,1708934491.2689993
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,Before Merge,1708935092.4437609
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,Before AUL_ARI,1708935914.7570043
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,Before Partitioning,1708935921.676074
