Filename,Time,ARI
20_newsgroups.drift_OpenML,19206.965052604675,-0.0011536582712750145
2dplanes_OpenML,146.82639002799988,4.78171526745993e-07
Ailerons_OpenML,9.572587013244629,0.002004979477689001
BNG(2dplanes)_OpenML,26.443556308746338,5.636796593398694e-08
BNG(Australian)_OpenML,-2.0,-2.0
BNG(SPECT)_OpenML,-2.0,-2.0
BNG(SPECTF)_OpenML,-2.0,-2.0
BNG(adult)_OpenML,-2.0,-2.0
BNG(anneal)_OpenML,-2.0,-2.0
BNG(anneal.ORIG)_OpenML,-2.0,-2.0
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,-2.0,-2.0
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,-2.0,-2.0
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,-2.0,-2.0
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,-2.0,-2.0
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,-2.0,-2.0
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,-2.0,-2.0
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,-2.0,-2.0
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,-2.0,-2.0
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,-2.0,-2.0
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,-2.0,-2.0
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,-2.0,-2.0
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,-2.0,-2.0
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,-2.0,-2.0
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,-2.0,-2.0
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,-2.0,-2.0
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,-2.0,-2.0
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,-2.0,-2.0
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,-2.0,-2.0
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,-2.0,-2.0
BNG(autoHorse)_OpenML,-2.0,-2.0
BNG(autoPrice)_OpenML,-2.0,-2.0
BNG(auto_price)_OpenML,-2.0,-2.0
BNG(autos)_OpenML,-2.0,-2.0
BNG(autos_COMMA_10000_COMMA_1)_OpenML,-2.0,-2.0
BNG(autos_COMMA_10000_COMMA_10)_OpenML,-2.0,-2.0
BNG(autos_COMMA_10000_COMMA_5)_OpenML,-2.0,-2.0
BNG(autos_COMMA_1000_COMMA_1)_OpenML,-2.0,-2.0
BNG(autos_COMMA_1000_COMMA_10)_OpenML,-2.0,-2.0
BNG(autos_COMMA_1000_COMMA_5)_OpenML,-2.0,-2.0
BNG(autos_COMMA_5000_COMMA_1)_OpenML,-2.0,-2.0
BNG(autos_COMMA_5000_COMMA_10)_OpenML,-2.0,-2.0
BNG(autos_COMMA_5000_COMMA_5)_OpenML,-2.0,-2.0
BNG(bridges_version1)_OpenML,-2.0,-2.0
BNG(cholesterol)_OpenML,-2.0,-2.0
BNG(colic)_OpenML,-2.0,-2.0
BNG(colic.ORIG)_OpenML,-2.0,-2.0
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(cpu_act)_OpenML,-2.0,-2.0
BNG(cpu_small)_OpenML,-2.0,-2.0
BNG(credit-a)_OpenML,-2.0,-2.0
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,-2.0,-2.0
BNG(credit-g)_OpenML,-2.0,-2.0
