Filename,max,min,mean,std
mnist_784_OpenML,-0.9226675,-3.901795,-1.0674256,0.102060355
BNG(mv)_OpenML,-0.8942218,-2.829722,-1.0358541,0.071248196
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,-0.8069352,-29933263000.0,-598848200.0,2073766100.0
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,-0.85540545,-28284273000.0,-281296160.0,1415088500.0
BNG(kr-vs-kp)_OpenML,-0.8307869,-20000000000.0,-863054600.0,2391601400.0
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,-0.86134815,-14142136000.0,-703340000.0,1924578400.0
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,-0.84113455,-20000000000.0,-431799200.0,1673267600.0
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,-0.7736251,-22360680000.0,-580923000.0,1917991400.0
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,-0.8447795,-17320507000.0,-1044246460.0,2289466600.0
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,-0.87447435,-2.085087,-1.1024401,0.101489365
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,-0.9236151,-1.8637213,-1.1265326,0.0812796
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,-0.781008,-20000000000.0,-545921150.0,1733413500.0
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,-0.75227326,-20000000000.0,-329710880.0,1348929800.0
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,-0.79497683,-22360680000.0,-435345730.0,1740236700.0
BNG(mushroom)_OpenML,-0.7752141,-47958315000.0,-346618720.0,2162970000.0
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,-0.7868686,-2.4431226,-1.0958122,0.09719982
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,-0.77104044,-17320507000.0,-642620700.0,1835789700.0
BNG(optdigits)_OpenML,-0.8063611,-15571280000.0,-2534539.0,131915110.0
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,-0.8799267,-24494900000.0,-308303680.0,1411210900.0
BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,-0.906493,-20000000000.0,-10991338.0,282250880.0
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,-0.7923923,-17320507000.0,-434649540.0,1460655200.0
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,-0.81374407,-20000000000.0,-439176740.0,1697202300.0
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,-0.9079462,-1.8180437,-1.0407516,0.06231775
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,-0.7923924,-22360680000.0,-87412820.0,690362940.0
BNG(segment)_OpenML,-0.840839,-22360680000.0,-120225690.0,920728600.0
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,-0.87794816,-20000000000.0,-169558500.0,1104113300.0
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,-0.7868589,-15571280000.0,-1798313.0,113137144.0
BNG(soybean)_OpenML,-0.80551845,-31622779000.0,-964337860.0,2547178000.0
BNG(spambase)_OpenML,-0.9050762,-29999999000.0,-93371500.0,880318700.0
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,-0.91036904,-14142136000.0,-357326370.0,1391028600.0
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,-0.92136276,-14142136000.0,-155043150.0,991182000.0
BNG(trains)_OpenML,-0.8020522,-17320507000.0,-227967630.0,1137076600.0
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,-0.8890172,-17320507000.0,-361145630.0,1479491500.0
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,-0.80377656,-20000000000.0,-411612580.0,1629047200.0
