Filename,Shape_R,Shape_C,Unique
OnlineNewsPopularity_OpenML,39644,61,1454
Kaggle_bike_sharing_demand_challange_OpenML,10886,11,822
elevators_OpenML,16599,19,61
ailerons_OpenML,13750,41,35
letter_OpenML,20000,17,26
BNG(letter)_OpenML,1000000,17,26
BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,17,26
BNG(letter_COMMA_10000_COMMA_10)_OpenML,1000000,17,26
BNG(letter_COMMA_10000_COMMA_5)_OpenML,1000000,17,26
BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,17,26
BNG(letter_COMMA_1000_COMMA_10)_OpenML,1000000,17,26
BNG(letter_COMMA_1000_COMMA_5)_OpenML,1000000,17,26
BNG(letter_COMMA_5000_COMMA_1)_OpenML,1000000,17,26
BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,17,26
BNG(letter_COMMA_5000_COMMA_5)_OpenML,1000000,17,26
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,26
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,70,24
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,70,24
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,70,24
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,70,24
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,70,24
BNG(primary-tumor)_OpenML,1000000,18,22
pol_OpenML,15000,49,11
meta_stream_intervals.arff_OpenML,45164,75,11
BNG(vowel)_OpenML,1000000,13,11
pendigits_OpenML,10992,17,10
mnist_784_OpenML,70000,785,10
spoken-arabic-digit_OpenML,263256,15,10
BNG(mfeat-fourier)_OpenML,1000000,77,10
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,77,10
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,65,10
BNG(mfeat-zernike)_OpenML,1000000,48,10
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,48,10
BNG(pendigits)_OpenML,1000000,17,10
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,10
LED(50000)_OpenML,1000000,25,10
CovPokElec_OpenML,1455525,73,10
BNG(autos)_OpenML,1000000,26,7
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,26,7
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,26,7
